top - 17:30:43 up  3:02,  2 users,  load average: 0.00, 0.04, 0.05
Tasks: 480 total,   1 running, 476 sleeping,   2 stopped,   1 zombie
%Cpu(s):  1.2 us,  0.6 sy,  0.1 ni, 97.3 id,  0.8 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   2035884 total,  1027580 used,  1008304 free,    78016 buffers
KiB Swap:  2094076 total,        0 used,  2094076 free.   356908 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
   159 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/22
   160 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/23
   161 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/24
   162 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/25
   163 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/26
   164 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/27
   165 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/28
   166 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/29
   167 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/30
   168 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/31
   169 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/32
   170 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/33
   171 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/34
   172 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/35
   173 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/36
   174 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/37
   175 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/38
   176 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/39
   177 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/40
   178 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/41
   179 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/42
   180 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/43
   181 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/44
   182 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/45
   183 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/46
   184 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/47
   185 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/48
   186 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/49
   187 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/50
   188 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/51
   189 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/52
   190 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/53
   191 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/54
   192 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/55
   193 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/56
   194 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/57
   195 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/58
   196 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/59
   197 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/60
   198 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/61
   199 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/62
   200 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/63
   201 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/64
   202 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/65
   203 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/66
   204 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/67
   205 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/68
   206 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/69
   207 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/70
   208 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/71
   209 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/72
   210 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/73
   211 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/74
   212 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/75
   213 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/76
   214 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/77
   215 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/78
   216 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/79
   217 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/80
   218 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/81
   219 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/82
   220 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/83
   221 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/84
   222 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/85
   223 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/86
   224 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/87
   225 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/88
   226 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/89
   227 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/90
   228 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/91
   229 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/92
   230 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/93
   231 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/94
   232 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/95
   233 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/96
   234 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/97
   235 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/98
   236 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/99
   237 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/100
   238 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/101
   239 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/102
   240 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/103
   241 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/104
   242 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/105
   243 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/106
   244 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/107
   245 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/108
   246 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/109
   247 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/110
   248 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/111
   249 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/112
   250 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/113
   251 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/114
   252 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/115
   253 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/116
   254 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/117
   255 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/118
   256 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/119
   257 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/120
   258 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/121
   259 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/122
   260 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/123
   261 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/124
   262 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/125
   263 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/126
   264 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuob/127
   265 root      rt   0       0      0      0 S  0.0  0.0   0:00.00 migration/0
   266 root      rt   0       0      0      0 S  0.0  0.0   0:00.18 watchdog/0
   267 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 khelper
   268 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kdevtmpfs
   269 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 netns
   270 root      20   0       0      0      0 S  0.0  0.0   0:00.01 khungtaskd
   271 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 writeback
   272 root      25   5       0      0      0 S  0.0  0.0   0:00.00 ksmd
   273 root      39  19       0      0      0 S  0.0  0.0   0:00.74 khugepaged
   274 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 crypto
   275 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kintegrityd
   276 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 bioset
   277 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kblockd
   278 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ata_sff
   279 root      20   0       0      0      0 S  0.0  0.0   0:00.35 khubd
   280 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 md
   281 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 devfreq_wq
   283 root      20   0       0      0      0 S  0.0  0.0   0:00.97 kworker/0:1
   285 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kswapd0
   286 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 vmstat
   287 root      20   0       0      0      0 S  0.0  0.0   0:00.06 fsnotify_mark
   288 root      20   0       0      0      0 S  0.0  0.0   0:00.00 ecryptfs-kthrea
   300 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kthrotld
   301 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 acpi_thermal_pm
   302 root      20   0       0      0      0 S  0.0  0.0   0:00.01 scsi_eh_0
   303 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_0
   304 root      20   0       0      0      0 S  0.0  0.0   0:00.01 scsi_eh_1
   305 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_1
   308 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ipv6_addrconf
   328 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 deferwq
   329 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 charger_manager
   381 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 mpt_poll_0
   382 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 mpt/0
   383 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kpsmoused
   384 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_2
   385 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_2
   386 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_3
   387 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_3
   388 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_4
   389 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_4
   390 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_5
   391 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_5
   392 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_6
   393 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_6
   394 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_7
   395 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_7
   396 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_8
   397 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_8
   398 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_9
   399 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_9
   400 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_10
   401 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_10
   402 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_11
   403 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_11
   404 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_12
   405 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_12
   406 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_13
   407 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_13
   408 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_14
   409 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_14
   410 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_15
   411 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_15
   412 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_16
   413 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_16
   414 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_17
   415 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_17
   416 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_18
   417 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_18
   418 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_19
   419 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_19
   420 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_20
   421 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_20
   422 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_21
